,Unnamed: 0,Unnamed: 0.1,loai,tinhThanhPho,diaChi,giaCa,dienTich,ngayDangTin,ngayHetHan,moTa,matTienM,duongVaoM,soTang,soPhongNgu,soPhongTam,noiThat,tienIchKemTheo,dacDiemXaHoi,phapLy,duongpho,duAn,huongNha,huongBanCong,latitude,longitude
2,786,786,Nhà riêng,"Cát Linh, Đống Đa, Hà Nội","Đống Đa, Hà Nội",15.0,51.0,737664.0,737709.0,"Cần bán gấp nhà Võ Văn Dũng, Phân lô ô tô, Thang máy, Kinh doanh đỉnh
+ Vị trí: Võ Văn Dũng, Q. Đống Đa
- Khu vực phân lô cực VIP, kinh doanh nhộn nhịp, đặc biệt về văn phòng.
- Nhà ngay gần mặt phố Võ Văn Dũng.
+ Diện tích: 51 m2 x 7 Tầng, Mặt tiền 4.2 m.
- Nhà 7 tầng, thang máy, cho thuê làm VP.
- Tầng 1 để xe, từ tầng 2 lên là mỗi tầng 2 phòng.
+ Đường trước nhà: ô tô vào tận nhà, ô tô quay đầu, tránh nhau thoải mái
+ Giá: 15 tỷ
+ Liên hệ em Tuấn (không tám tám chín, sáu sáu sáu, tám hai tám) để được tư vấn và xem nhà miễn phí.",,,7.0,6.0,6.0,,,,0,Võ Văn Dũng,,,,21.0289833,105.82976370000002
3,788,788,Nhà riêng,"Cát Linh, Đống Đa, Hà Nội","Đống Đa, Hà Nội",12.4,75.0,737664.0,737709.0,"Cần bán gấp nhà Vũ Ngọc Phan, 75m2 x 5T, Hội tụ hết đẹp
+ Vị trí nhà tuyệt đỉnh, đường rộng 3 ôtô tránh nhau thoải mái, rất gần mặt phố Láng Trung, cách chỉ 40m, phía trước là cả khoảng sân rộng của chung cư ô tô để nhiều chục cái, không gian cực kỳ thoáng.
+ Diện tích: 75m2 x 5 tầng, mặt tiền 4.5 m.
Khu vực phân lô vip, chỉ có chục nhà, đều to đẹp, dân trí cao, an sinh sướng.
+ Nhà còn tuyệt đẹp, chủ đắp toàn nội thất cao cấp, sàn, cầu thang gỗ tự nhiên.
Bố trí tầng 1 gara + bếp ăn.
Tầng 2 phòng khách + 1 ngủ.
Tầng 3, 4 mỗi tầng 2 phòng.
Tầng 5: Phòng thờ và sân phơi, phía sau khe thoáng rộng, phòng nào cũng cửa sổ mở toang.
+ Đường trước nhà: vỉa hè rộng, ô tô vào tận nhà, ô tô quay đầu, tránh nhau thoải mái
+ Giá: 12.4 tỷ
+ Liên hệ em Tuấn (không tám tám chín, sáu sáu sáu, tám hai tám) để được tư vấn và xem nhà miễn phí.",,,5.0,4.0,4.0,,,,0,Vũ Ngọc Phan,,,,21.0289833,105.82976370000002
4,2439,2439,Nhà riêng,"Cát Linh, Đống Đa, Hà Nội",Đống Đa,11.0,52.0,737655.0,737700.0,"Cần bán nhà ở Thông Phong, 52m2 x 5T, Phân lô VIP, Giá 11 tỷ
Diện tích: 52 m2 x 5 Tầng, mặt tiền 4m.
Mô tả:
+ Vị trí trung tâm lõi của Đống Đa, ngõ 66 Thông Phong là khu vực phân lô nội bộ, hạ tầng tách biệt, đường rộng 3 ô tránh nhau, vỉa hè 2 bên, cây xanh nhiều, an sinh tuyệt vời.
Các nhà đều là phân lô, biệt thự to đẹp, dân trí cao, đáng sống.
+ Nhà khung cột, chủ nhà bên Bộ Xây dựng, làm nhà cực chắc chắn, thiết kế tầng 2 phòng, hiện trạng đẹp ở ngay, tổng 4 ngủ phòng nào cũng có cửa thoáng, phía sau có ngõ, mở cửa sổ thoải mái.
+ Sổ đẹp nở hậu.
+ Giá: 11 tỷ (có thương lượng )
+ Quan tâm liên hệ em Tuấn (0 tám 89, sáu 66, tám 28) để được tư vấn và xem nhà miễn phí.",,,5.0,4.0,4.0,,,,0,Thông Phong,,,,21.0289833,105.82976370000002
5,2440,2440,Nhà riêng,"Cát Linh, Đống Đa, Hà Nội",Đống Đa,16.9,50.0,737655.0,737700.0,"Cần bán nhà Huỳnh Thúc Kháng, 50m2 x 5T, Nhà phân lô, Vỉa hè hai bên, Ô tô tránh, Giá 16.9 tỷ
Diện tích: 50 m2 x 5 Tầng, Mặt tiền 4.2m.
+ Vị trí:
- Khu phân lô VIP nhất quận Đống Đa, dân trí cao, an sinh đỉnh.
- Hai mặt ngõ ô tô tránh.
+ Vỉa hè hai bên, lô góc hai mặt thoáng trổ nhiều cửa sổ, kinh doanh đỉnh.
+ Chủ thiết kế rất hợp lý:
- T1: Cho thuê cửa hàng, có lối đi riêng không ảnh hưởng người thuê.
- T2: Khách + bếp.
- T3, 4: Cầu thang giữa, tổng 4 phòng ngủ.
- T5: Phòng thờ sân phơi.
+ Giá: 16.9 tỷ (có thương lượng )
+ Quan tâm liên hệ em Tuấn (0 tám 89, sáu 66, tám 28) để được tư vấn và xem nhà miễn phí.",,,5.0,4.0,4.0,,,,0,Huỳnh Thúc Kháng,,,,21.0289833,105.82976370000002
6,2840,2840,Nhà riêng,"Cát Linh, Đống Đa, Hà Nội",Đống Đa,9.25,70.0,737653.0,737698.0,"Cần bán gấp nhà Nguyễn Trãi, 70m2 x 5T, Ô tô tránh, Kinh doanh, Giá 9.25 tỷ
Diện tích: 70 m2 x 5 tầng, mặt tiền 5.3 m.
+ Chủ nhà là dân xây dựng nên xây nhà cực hợp lý, nhà xây vuông vắn.
+ Chi phí xây dựng: 5 tỷ.
+ Chủ nhà tâm huyết lắm, riêng phòng khách 2 tấm đá phong thuỷ ốp tường 400 triệu, 2 đèn trần trang trí 100 triệu. Gỗ làm tầng 1, 2 là gỗ Xạ Hương, các tầng trên là gỗ Lim. Tất cả các tủ quần áo làm âm tường, đường điện là Snider, thiết bị vệ sinh Toto đẳng cấp. Do vốn là quan chức ngành xây dựng lại cực nhiều anh em ngành dọc ngang nên nhà cửa được làm không có gì ngoài hai từ “ĐẲNG CẤP”. Anh chị em chỉ xem hình đã đủ thấy được một phần rồi.
+ Thiết kế 4 phòng ngủ, có thể chuyển đổi luôn thành 5 phòng ngủ. Thoáng đãng, view thẳng sang toà R3 của Royal City. Tầng 5 có sân rộng rãi, làm vườn cây ngoài trời.
+ Ngõ trước nhà ô tô tránh nhau. Ngõ cạnh nhà đi vài bước chân ra Giáp Nhất.
+ Cầu Royal đã hoàn thiện, chuẩn bị mở cổng Phụ của Royal ngay cách nhà đúng 3 bước chân. Vị trí mang giá trị tương lai.
+ Pháp lý chuẩn, sổ đỏ đẹp, sẵn sàng giao dịch.
+ Giá: 9.25 tỷ (có thương lượng )
+ Quan tâm liên hệ Mr Tuấn (0 tám 89, sáu 66, tám 28) để được tư vấn và xem nhà miễn phí.",,,5.0,4.0,4.0,,,,0,,,,,21.0289833,105.82976370000002
7,2442,2442,Nhà riêng,"Cát Linh, Đống Đa, Hà Nội",Đống Đa,15.8,58.0,737655.0,737700.0,"Cần bán gấp nhà Huỳnh Thúc Kháng, 58m2 x 7T Thang máy, Vỉa hè ô tô tránh, Giá 15.8 tỷ
Diện tích: 58m2 x 7 tầng, mặt tiền 5m.
Mô tả:
+ Sổ phân lô rất đẹp.
+ Khu vực cực VIP, làm gì cũng đẹp. Rất nhiều các tòa nhà văn phòng, dân trí đỉnh cao, văn minh đẳng cấp.
+ 7 tầng xây mới, thiết kế tân cổ điển rất rất đẹp.
Tầng 1,2: Thông sàn, gara, lễ tân.
Tầng 3,4,5,6,7: Gồm 4 phòng ngủ cực rộng, 6 vệ sinh, phòng khách, bếp, phòng thờ, sân phơi, bồn tắm bể sục đầy đủ.
+ Gara, vỉa hè 7m, thang máy nhập ngoại, nhà mới tinh.
+ Giá: 15.8.tỷ (có thương lượng )
+ Quan tâm liên hệ em Tuấn (0 tám 89, sáu 66, tám 28) để được tư vấn và xem nhà miễn phí.",,,7.0,6.0,6.0,,,,0,Huỳnh Thúc Kháng,,,,21.0289833,105.82976370000002
8,2443,2443,Nhà riêng,"Cát Linh, Đống Đa, Hà Nội",Đống Đa,15.0,51.0,737655.0,737700.0,"Cần bán gấp nhà Võ Văn Dũng, 51m2 x 7T, Phân lô ô tô, Kinh Doanh nhộn nhịp, Thang máy, Giá 15 tỷ
Diện tích: 51m2 x 7 tầng, mặt tiền 4.2m.
Mô tả:
+ Khu vực phân lô cực VIP, kinh doanh nhộn nhịp, đặc biệt về văn phòng.
+ Nhà ngay gần mặt phố Võ Văn Dũng.
+ Nhà 7 tầng, thang máy, cho thuê làm VP.
+ Tầng 1 để xe, từ tầng 2 lên là mỗi tầng 2 phòng.
+ Pháp lý chuẩn, sổ đỏ đẹp, sẵn sàng giao dịch.
+ Giá: 15 tỷ (có thương lượng )
+ Quan tâm liên hệ em Tuấn (0 tám 89, sáu 66, tám 28) để được tư vấn và xem nhà miễn phí.",,,7.0,6.0,6.0,,,,0,Võ Văn Dũng,,,,21.0289833,105.82976370000002
9,2444,2444,Nhà riêng,"Cát Linh, Đống Đa, Hà Nội",Đống Đa,12.4,75.0,737655.0,737700.0,"Cần bán gấp nhà Vũ Ngọc Phan, 75m2 x 5T, Hội tụ hết đẹp, Giá 12.4 tỷ
Diện tích: 75m2 x 5 tầng, mặt tiền 4.5 m.
+ Vị trí nhà tuyệt đỉnh, đường rộng 3 ôtô tránh nhau thoải mái, rất gần mặt phố Láng Trung, cách chỉ 40m, phía trước là cả khoảng sân rộng của chung cư ô tô để nhiều chục cái, không gian cực kỳ thoáng.
Khu vực phân lô vip, chỉ có chục nhà, đều to đẹp, dân trí cao, an sinh sướng.
+ Nhà còn tuyệt đẹp, chủ đắp toàn nội thất cao cấp, sàn, cầu thang gỗ tự nhiên.
Bố trí tầng 1 gara + bếp ăn.
Tầng 2 phòng khách + 1 ngủ.
Tầng 3, 4 mỗi tầng 2 phòng.
Tầng 5: Phòng thờ và sân phơi, phía sau khe thoáng rộng, phòng nào cũng cửa sổ mở toang.
+ Chủ nhà chủ doanh nghiệp làm nhà cực kỳ tỉ mỉ, đảm bảo khách vào ngất ngây luôn.
+ Pháp lý chuẩn, sổ đỏ đẹp, sẵn sàng giao dịch.
+ Giá: 12.4 tỷ (có thương lượng )
+ Quan tâm liên hệ em Tuấn (0 tám 89, sáu 66, tám 28) để được tư vấn và xem nhà miễn phí.",,,5.0,4.0,4.0,,,,0,Vũ Ngọc Phan,,,,21.0289833,105.82976370000002
10,2445,2445,Nhà riêng,"Cát Linh, Đống Đa, Hà Nội",Đống Đa,11.0,55.0,737655.0,737700.0,"Cần bán gấp nhà Nguyễn Phúc Lai, 55m2 x 6T, Kinh doanh, Ô tô, Giá 11 tỷ
Diện tích: 55m2 x 6 tầng, mặt tiền 4.2 m.
+ Nhà đẹp, khách đến chỉ việc đến ở luôn.
+ Nhà cách đường to đúng 1 nhà.
+ Tương lai đường Đê La Thành sẽ mở rộng thì nhà gần ra mặt phố.
+ Nhà gần chung cư Tân Hoàng Minh, gần hồ Hoàng Cầu.
+ Nhà 6 tầng thiết kế:
- Tầng 1: Phòng khách + Bếp.
- Tầng 2, 3, 4 Mỗi tầng 2 phòng ngủ, cầu thang và WC ở giữa.
- Tầng 5: Phòng thờ, cây cảnh.
- Tầng 6: Bể nước + Sân phơi + Cây cảnh.
+ Pháp lý chuẩn, sổ đỏ đẹp, sẵn sàng giao dịch.
+ Giá: 11 tỷ (có thương lượng )
+ Quan tâm liên hệ em Tuấn (0 tám 89, sáu 66, tám 28) để được tư vấn và xem nhà miễn phí.",,,6.0,5.0,5.0,,,,0,Nguyễn Phúc Lai,,,,21.0289833,105.82976370000002
11,2447,2447,Nhà riêng,"Cát Linh, Đống Đa, Hà Nội",Đống Đa,16.0,76.0,737655.0,737700.0,"Cần bán nhà Hoàng Cầu, 76m2 x 7T, Thang máy, Gara Ô tô, Kinh doanh, Giá 16 tỷ
Diện tích: 76m2 x 7 Tầng, Mặt tiền 6m.
Đặc điểm:
+ Sổ đỏ: Nở hậu.
+ Vị trí:
- Trung tâm Đống Đa.
- Gần hồ Hoàng Cầu.
+ Nhà 7 tầng thang máy thoáng hai mặt. Chủ hiện tại chỉ để ở chưa từng kinh doanh hay cho thuê gì nên nhà còn rất mới.
+ Thiết kế:
- Ốp gỗ toàn bộ, nội thất xịn..
- Cầu thang máy và bộ ở giữa.
- T1: Gara, bếp.
- T2: Phòng khách, ngủ, vệ sinh giữa.
- T3: 2 phòng ngủ, vệ sinh giữa.
- T4, 5, 6: Tổng 6 ngủ khép kín.
- T7: Phòng thờ + sân phơi
+ Chủ ở rộng quá, không ở hết nên bán chuyển nhà vừa phải.
+ Thích hợp văn phòng, khách sạn, kinh doanh, cho thuê...
+ Giá: 16 tỷ (có thương lượng )
+ Quan tâm liên hệ em Tuấn (0 tám 89, sáu 66, tám 28) để được tư vấn và xem nhà miễn phí.",,,7.0,6.0,6.0,,,,0,Hoàng Cầu,,,,21.0289833,105.82976370000002
