,id,loai,trend,reportData
0,0,Nhà mặt phố,Không đổi,"[{'date': datetime.date(2020, 1, 11), 'price': 10.060307}, {'date': datetime.date(2020, 4, 4), 'price': 10.060307}, {'date': datetime.date(2020, 6, 27), 'price': 10.060307}, {'date': datetime.date(2020, 9, 19), 'price': 16.453463}, {'date': datetime.date(2020, 12, 12), 'price': 16.453463}]"
1,1,Căn hộ Cao cấp,Không đổi,"[{'date': datetime.date(2020, 1, 11), 'price': 4.798667}, {'date': datetime.date(2020, 4, 4), 'price': 4.798667}, {'date': datetime.date(2020, 6, 27), 'price': 4.798667}, {'date': datetime.date(2020, 9, 19), 'price': 6.3089695}, {'date': datetime.date(2020, 12, 12), 'price': 6.3089695}]"
2,2,Nhà riêng,Không đổi,"[{'date': datetime.date(2020, 1, 11), 'price': 4.798667}, {'date': datetime.date(2020, 4, 4), 'price': 4.798667}, {'date': datetime.date(2020, 6, 27), 'price': 4.798667}, {'date': datetime.date(2020, 9, 19), 'price': 6.3089695}, {'date': datetime.date(2020, 12, 12), 'price': 6.3089695}]"
3,3,Nhà phố Shophouse,Không đổi,"[{'date': datetime.date(2020, 1, 11), 'price': 4.798667}, {'date': datetime.date(2020, 4, 4), 'price': 4.798667}, {'date': datetime.date(2020, 6, 27), 'price': 4.798667}, {'date': datetime.date(2020, 9, 19), 'price': 6.3089695}, {'date': datetime.date(2020, 12, 12), 'price': 6.3089695}]"
4,4,Nhà biệt thự,Không đổi,"[{'date': datetime.date(2020, 1, 11), 'price': 4.798667}, {'date': datetime.date(2020, 4, 4), 'price': 4.798667}, {'date': datetime.date(2020, 6, 27), 'price': 4.798667}, {'date': datetime.date(2020, 9, 19), 'price': 6.3089695}, {'date': datetime.date(2020, 12, 12), 'price': 6.3089695}]"
5,5,Biệt thự liền kề,Không đổi,"[{'date': datetime.date(2020, 1, 11), 'price': 4.798667}, {'date': datetime.date(2020, 4, 4), 'price': 4.798667}, {'date': datetime.date(2020, 6, 27), 'price': 4.798667}, {'date': datetime.date(2020, 9, 19), 'price': 6.3089695}, {'date': datetime.date(2020, 12, 12), 'price': 6.3089695}]"
6,6,Căn hộ Officetel,Không đổi,"[{'date': datetime.date(2020, 1, 11), 'price': 4.798667}, {'date': datetime.date(2020, 4, 4), 'price': 4.798667}, {'date': datetime.date(2020, 6, 27), 'price': 4.798667}, {'date': datetime.date(2020, 9, 19), 'price': 6.3089695}, {'date': datetime.date(2020, 12, 12), 'price': 6.3089695}]"
7,7,Nhà rẻ,Không đổi,"[{'date': datetime.date(2020, 1, 11), 'price': 4.798667}, {'date': datetime.date(2020, 4, 4), 'price': 4.798667}, {'date': datetime.date(2020, 6, 27), 'price': 4.798667}, {'date': datetime.date(2020, 9, 19), 'price': 6.3089695}, {'date': datetime.date(2020, 12, 12), 'price': 6.3089695}]"
8,8,Căn hộ chung cư,Không đổi,"[{'date': datetime.date(2020, 1, 11), 'price': 4.798667}, {'date': datetime.date(2020, 4, 4), 'price': 4.798667}, {'date': datetime.date(2020, 6, 27), 'price': 4.798667}, {'date': datetime.date(2020, 9, 19), 'price': 6.3089695}, {'date': datetime.date(2020, 12, 12), 'price': 6.3089695}]"
9,9,Căn hộ trung cấp,Không đổi,"[{'date': datetime.date(2020, 1, 11), 'price': 4.798667}, {'date': datetime.date(2020, 4, 4), 'price': 4.798667}, {'date': datetime.date(2020, 6, 27), 'price': 4.798667}, {'date': datetime.date(2020, 9, 19), 'price': 6.3089695}, {'date': datetime.date(2020, 12, 12), 'price': 6.3089695}]"
